CONTROL,SMSA,AGE1,BEDRMS,BUILT,STATUS,TYPE,VALUE,VACANCY,TENURE,NUNITS,PER,ZINC2,ROOMS,ZADEQ,ZSMHC,METRO,WEIGHT,STRUCTURETYPE,OWNRENT,UTILITY,OTHERCOST,COST06,COST12,COST08,COSTMED,TOTSAL,ASSISTED,IPOV,LMED,L50,L80,FMR,GLMED,GL50,GL80,APLMED,ABL50,ABL80,ABLMED,BURDEN,INCRELAMIPCT,INCRELAMICAT,INCRELPOVPCT,INCRELPOVCAT,INCRELFMRPCT,INCRELFMRCAT,COST06RELAMIPCT,COST06RELAMICAT,COST06RELPOVPCT,COST06RELPOVCAT,COST06RELFMRPCT,COST06RELFMRCAT,COST08RELAMIPCT,COST08RELAMICAT,COST08RELPOVPCT,COST08RELPOVCAT,COST08RELFMRPCT,COST08RELFMRCAT,COST12RELAMIPCT,COST12RELAMICAT,COST12RELPOVPCT,COST12RELPOVCAT,COST12RELFMRPCT,COST12RELFMRCAT,COSTMedRELAMIPCT,COSTMedRELAMICAT,COSTMedRELPOVPCT,COSTMedRELPOVCAT,COSTMedRELFMRPCT,COSTMedRELFMRCAT,FMTZADEQ,FMTMETRO,FMTBUILT,FMTSTRUCTURETYPE,FMTBEDRMS,FMTOWNRENT,FMTCOST06RELPOVCAT,FMTCOST08RELPOVCAT,FMTCOST12RELPOVCAT,FMTCOSTMEDRELPOVCAT,FMTINCRELPOVCAT,FMTCOST06RELFMRCAT,FMTCOST08RELFMRCAT,FMTCOST12RELFMRCAT,FMTCOSTMEDRELFMRCAT,FMTINCRELFMRCAT,FMTCOST06RELAMICAT,FMTCOST08RELAMICAT,FMTCOST12RELAMICAT,FMTCOSTMEDRELAMICAT,FMTINCRELAMICAT,FMTASSISTED,FMTBURDEN,FMTSTATUS
'000000002379','7600',36,3,1940,'1',1,-6,-6,'2',1,3,55000,5,'1',1542,'7',836.28301191,1,'2',242.16666667,0,1542,1542,1542,1542,55000,0,17268,84300,37935,57600,1395,94736.34,42631.353,64730.88,85262.706,49262.8968,74800.128,98525.7936,0.3364363636,64.506514724,4,318.5082233,4,98.566308244,2,62.602895898,4,357.19249479,4,110.53763441,3,62.602895898,4,357.19249479,4,110.53763441,3,62.602895898,4,357.19249479,4,110.53763441,3,62.602895898,4,357.19249479,4,110.53763441,3,'1 Adequate','-5','1940-1959','1 Single Family','3 3BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','2 50.1 - 100% FMR','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','0 Not Assisted','2 30% to 50%','-5'
'000000002385','7600',41,3,1980,'1',1,-6,-6,'2',1,4,36600,6,'1',1373,'7',836.28301191,1,'2',324.66666667,25,1373,1373,1373,1373,600,0,21832,84300,42150,64000,1395,94736.34,47368.17,71923.2,94736.34,49262.8968,74800.128,98525.7936,0.4501639344,38.633538091,2,167.64382558,3,65.591397849,2,55.741748423,3,251.55734701,4,98.422939068,2,55.741748423,3,251.55734701,4,98.422939068,2,55.741748423,3,251.55734701,4,98.422939068,2,55.741748423,3,251.55734701,4,98.422939068,2,'1 Adequate','-5','1980-1989','1 Single Family','3 3BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 150-200% Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','3 50 - 60% AMI','3 50 - 60% AMI','3 50 - 60% AMI','3 50 - 60% AMI','2 30 - 50% AMI','0 Not Assisted','2 30% to 50%','-5'
'000000002388','7600',46,2,1990,'1',1,375000,-6,'1',1,2,147140,6,'1',2765,'7',664.56253137,1,'1',244.5,18.333333333,2755.0663557,4203.150848,3208.0387702,2674.4236973,147000,-9,14366,84300,33720,51200,987,94736.34,37894.536,57538.56,75789.072,42631.353,64730.88,85262.706,0.2254995243,194.14408452,7,1024.2238619,4,372.69503546,3,129.25071159,7,767.10743581,4,279.13539572,3,150.50138194,7,893.230898,4,325.02925736,3,197.18589968,7,1170.3051226,4,425.85114974,3,125.46745571,7,744.65368154,4,270.9649136,3,'1 Adequate','-5','1990-1999','1 Single Family','2 2BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','-5'
'000000002395','7600',55,4,1985,'1',1,500000,-6,'1',1,3,94100,8,'1',1865,'7',677.95843751,1,'1',426.25,83.333333333,3832.5606965,5763.3400195,4436.5239158,3725.0371519,67000,-9,16781,84300,37935,57600,1704,94736.34,42631.353,64730.88,85262.706,54947.0772,83430.912,109894.1544,0.2378320935,110.36478246,6,560.75323282,4,138.05751174,3,139.50007505,7,913.54763042,4,224.91553383,3,161.48352713,7,1057.5112129,4,260.35938473,3,209.77785583,7,1373.7774911,4,338.22417955,3,135.58636207,7,887.91780035,4,218.60546666,3,'1 Adequate','-5','1980-1989','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','6 100 - 120% AMI','.','1 Less than 30%','-5'
'000000002396','7600',49,4,1975,'1',1,470000,-6,'1',1,5,132000,7,'1',3272,'7',677.95843751,1,'1',376.33333333,70,3569.9320547,5384.8646183,4137.6574808,3468.8599228,122000,-9,25603,84300,45522,69120,1704,94736.34,51157.6236,77677.056,102315.2472,54947.0772,83430.912,109894.1544,0.2974545455,129.01302945,7,515.56458228,4,193.66197183,3,129.94074432,7,557.7365238,4,209.50305486,3,150.60518927,7,646.43322749,4,242.8202747,3,196.00185825,7,841.28650835,4,316.01318183,3,126.26185412,7,541.94585366,4,203.57159171,3,'1 Adequate','-5','1960-1979','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','-5'
'000000002397','7600',-9,2,1970,'3',1,-6,1,'-6',4,-6,-6,4,'-6',-6,'7',643.63142802,2,'2',167,0,1017,1017,1017,1017,-9,-9,11161,84300,29505,44800,987,94736.34,33157.719,50346.24,-9,42631.353,64730.88,85262.706,-9,-9,-9,-9,-9,-9,-9,47.711363981,2,364.48346922,4,103.03951368,3,47.711363981,2,364.48346922,4,103.03951368,3,47.711363981,2,364.48346922,4,103.03951368,3,47.711363981,2,364.48346922,4,103.03951368,3,'-5','-5','1960-1979','2 2-4 units','2 2BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','.','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','.','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','.','.','.','-5'
'000000002398','7600',82,2,1985,'1',1,-6,-6,'2',14,2,86800,4,'2',1456,'7',836.28301191,3,'2',130,25.666666667,1456,1456,1456,1456,0,0,12968,84300,33720,51200,987,94736.34,37894.536,57538.56,75789.072,42631.353,64730.88,85262.706,0.2012903226,114.52838478,6,669.33991363,4,219.85815603,3,68.306534864,4,449.10549044,4,147.5177305,3,68.306534864,4,449.10549044,4,147.5177305,3,68.306534864,4,449.10549044,4,147.5177305,3,68.306534864,4,449.10549044,4,147.5177305,3,'2 Moderately Inadequ','-5','1980-1989','3 5-19 units','2 2BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','6 100 - 120% AMI','0 Not Assisted','1 Less than 30%','-5'
'000000002399','7600',54,3,1919,'1',1,1100000,-6,'1',1,4,153408,8,'1',2773,'7',643.63142802,1,'1',406,83.333333333,7799.8835323,12047.598043,9128.6026147,7563.3317342,114400,-9,22490,84300,42150,64000,1395,94736.34,47368.17,71923.2,94736.34,49262.8968,74800.128,98525.7936,0.2169117647,161.9315249,7,682.11649622,4,274.92473118,3,316.6636166,7,1387.2625224,4,559.13143601,3,370.60762593,7,1623.5842801,4,654.38011575,3,489.11447866,7,2142.7475399,4,863.62709985,3,307.05996705,7,1345.1901706,4,542.17431786,3,'1 Adequate','-5','-5','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','-5'
'000000002409','7600',75,3,1975,'1',1,350000,-6,'1',1,2,40800,6,'1',788,'7',826.54562204,1,'1',96.333333333,166.66666667,2589.0841542,3940.6296803,3011.8584077,2513.817673,0,-9,12968,84300,33720,51200,1395,94736.34,37894.536,57538.56,75789.072,49262.8968,74800.128,98525.7936,0.2317647059,53.833618652,3,314.62060457,4,73.11827957,2,105.11294798,6,798.60708027,4,185.59743041,3,122.27695095,7,929.01246382,4,215.90382851,3,159.98367682,7,1215.4934239,4,282.48241436,3,102.0572413,6,775.39101573,4,180.20198373,3,'1 Adequate','-5','1960-1979','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','2 50.1 - 100% FMR','6 100 - 120% AMI','7 120% AMI +','7 120% AMI +','6 100 - 120% AMI','3 50 - 60% AMI','.','1 Less than 30%','-5'
'000000002411','7600',-9,4,2008,'3',1,2021219,3,'-6',1,-6,-6,11,'-6',-6,'7',643.63142802,1,'1',88.333333333,166.66666667,13687.929966,21492.985671,16129.413834,13253.272703,-9,-9,11161,84300,29505,44800,1704,94736.34,33157.719,50346.24,-9,54947.0772,83430.912,109894.1544,-9,-9,-9,-9,-9,-9,-9,498.22231367,7,4905.6285158,4,803.28227501,3,587.08905573,7,5780.633934,4,946.56184473,3,782.31588525,7,7702.8888705,4,1261.3254502,3,482.4013716,7,4749.8513407,4,777.77421969,3,'-5','-5','2000-2009','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','.','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','.','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','.','.','.','-5'
'000000002416','7600',69,3,1990,'1',1,330000,-6,'1',1,2,49543,8,'1',887,'7',755.56732854,1,'1',422.83333333,68.75,2684.748393,3959.0627462,3083.3641178,2613.7828536,0,-9,12968,84300,33720,51200,1395,94736.34,37894.536,57538.56,75789.072,49262.8968,74800.128,98525.7936,0.2148436712,65.36958257,4,382.04040716,4,88.786738351,2,108.99677313,6,828.11486522,4,192.45508194,3,125.17997593,7,951.06851257,4,221.02968586,3,160.73203175,7,1221.1791321,4,283.80378109,3,106.11567826,6,806.22543294,4,187.36794649,3,'1 Adequate','-5','1990-1999','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','2 50.1 - 100% FMR','6 100 - 120% AMI','7 120% AMI +','7 120% AMI +','6 100 - 120% AMI','4 60 - 80% AMI','.','1 Less than 30%','-5'
'000000002417','7600',63,3,1970,'1',1,700000,-6,'1',1,2,82120,7,'1',2490,'7',835.88497145,1,'1',298.5,83.333333333,5034.0016418,7737.092694,5879.5501488,4883.4686793,82000,-9,14366,84300,33720,51200,1395,94736.34,37894.536,57538.56,75789.072,49262.8968,74800.128,98525.7936,0.3638577691,108.35335205,6,571.62745371,4,147.16845878,3,204.3729447,7,1401.6432248,4,360.86033275,3,238.70095064,7,1637.0736875,4,421.47312894,3,314.11440238,7,2154.2789069,4,554.63030064,3,198.26153136,7,1359.7295501,4,350.06943938,3,'1 Adequate','-5','1960-1979','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','6 100 - 120% AMI','.','2 30% to 50%','-5'
'000000002418','7600',47,3,1950,'1',1,500000,-6,'1',1,4,282068,5,'1',3167,'7',703.45614408,1,'1',442,37.5,3802.4773632,5733.2566862,4406.4405825,3694.9538186,0,-9,21756,84300,42150,64000,1395,94736.34,47368.17,71923.2,94736.34,49262.8968,74800.128,98525.7936,0.1347334685,297.74002247,7,1296.5067108,4,505.49820789,3,154.37489917,7,699.11332289,4,272.57902245,3,178.89490341,7,810.15638582,4,315.87387688,3,232.76165466,7,1054.1012477,4,410.98614238,3,150.00960392,7,679.34433142,4,264.87124148,3,'1 Adequate','-5','1940-1959','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','-5'
'000000002422','7600',36,3,1985,'1',1,450000,-6,'1',1,4,190000,6,'1',811,'7',732.53079653,1,'1',339,55,3384.6796269,5122.3810175,3928.2465242,3287.9084367,190000,-9,21756,84300,42150,64000,1395,94736.34,47368.17,71923.2,94736.34,49262.8968,74800.128,98525.7936,0.0512210526,200.55661851,7,873.32230189,4,340.50179211,3,137.41293536,7,622.29814798,4,242.62936393,3,159.48093918,7,722.23690462,4,281.59473292,3,207.9610153,7,941.7872803,4,367.19577187,3,133.48416964,7,604.50605566,4,235.69236106,3,'1 Adequate','-5','1980-1989','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','-5'
'000000002427','7600',63,3,1985,'1',1,400000,-6,'1',1,2,108005,8,'1',2805,'7',711.6575139,1,'1',258.33333333,555,3471.7152239,5016.3386823,3954.8857993,3385.6963882,45000,-9,14366,84300,33720,51200,1395,94736.34,37894.536,57538.56,75789.072,49262.8968,74800.128,98525.7936,0.3116522383,142.50735251,7,751.80982876,4,193.55734767,3,140.94645055,7,966.6477026,4,248.86847483,3,160.56245394,7,1101.1793956,4,283.50435837,3,203.65585494,7,1396.7252352,4,359.59417077,3,137.45421435,7,942.69703138,4,242.70225005,3,'1 Adequate','-5','1980-1989','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','.','2 30% to 50%','-5'
'000000002430','7600',69,3,1975,'1',1,900000,-6,'1',1,2,172000,6,'1',3372,'7',703.45614408,1,'1',620.66666667,442.75,7044.7759204,10520.178702,8131.9097151,6851.2335401,125000,-9,12968,84300,33720,51200,1395,94736.34,37894.536,57538.56,75789.072,49262.8968,74800.128,98525.7936,0.235255814,226.94564726,7,1326.3417643,4,308.2437276,3,286.00737586,7,2172.9722148,4,505.00185809,3,330.14338349,7,2508.300344,4,582.93259606,3,427.10353573,7,3244.9656699,4,754.13467396,3,278.14984441,7,2113.2737631,4,491.12785234,3,'1 Adequate','-5','1960-1979','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','-5'
'000000002436','7600',-9,3,1985,'3',1,-6,1,'-6',1,-6,-6,7,'-6',-6,'7',643.63142802,1,'2',190,0,1840,1840,1840,1840,-9,-9,11161,84300,29505,44800,1395,94736.34,33157.719,50346.24,-9,49262.8968,74800.128,98525.7936,-9,-9,-9,-9,-9,-9,-9,74.701250617,4,659.43911836,4,131.89964158,3,74.701250617,4,659.43911836,4,131.89964158,3,74.701250617,4,659.43911836,4,131.89964158,3,74.701250617,4,659.43911836,4,131.89964158,3,'-5','-5','1980-1989','1 Single Family','3 3BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','.','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','.','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','.','.','.','-5'
'000000002442','7600',34,3,1960,'1',1,525000,-6,'1',1,3,134999,6,'1',2946,'7',835.88497145,1,'1',296.33333333,50,3835.4595647,5862.7778538,4469.6209449,3722.5598428,116379,-9,17268,84300,37935,57600,1395,94736.34,42631.353,64730.88,85262.706,49262.8968,74800.128,98525.7936,0.2618686064,158.33299966,7,781.78712069,4,241.93369176,3,155.71392727,7,888.45484473,4,274.94333797,3,181.45993172,7,1035.3534735,4,320.40293512,3,238.02002053,7,1358.0676057,4,420.27081389,3,151.13036726,7,862.3024885,4,266.85016795,3,'1 Adequate','-5','1960-1979','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','-5'
'000000002443','7600',36,2,1975,'1',1,300000,-6,'1',2,2,175000,4,'1',1888,'7',775.65838761,2,'1',252.58333333,160,2406.3697512,3564.837345,2768.7476828,2341.8556245,175000,-9,14366,84300,33720,51200,987,94736.34,37894.536,57538.56,75789.072,42631.353,64730.88,85262.706,0.1294628571,230.90400157,7,1218.1539747,4,443.26241135,3,112.89201876,6,670.01802903,4,243.80645909,3,129.89255503,7,770.91679878,4,280.52154841,3,167.24016923,7,992.57617849,4,361.17906231,3,109.86541405,6,652.05502561,4,237.2700734,3,'1 Adequate','-5','1960-1979','2 2-4 units','2 2BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','6 100 - 120% AMI','7 120% AMI +','7 120% AMI +','6 100 - 120% AMI','7 120% AMI +','.','1 Less than 30%','-5'
'000000002448','7600',48,4,1930,'1',1,400000,-6,'1',1,3,220740,10,'1',1405,'7',715.14603113,1,'1',218.33333333,100,2976.7152239,4521.3386823,3459.8857993,2890.6963882,145000,-9,17268,84300,37935,57600,1704,94736.34,42631.353,64730.88,85262.706,54947.0772,83430.912,109894.1544,0.0763794509,258.89396473,7,1278.3182766,4,323.8556338,3,108.34844638,6,689.53329254,4,174.68986056,3,125.93520804,7,801.45605728,4,203.04494127,3,164.570671,7,1047.3334914,4,265.33677713,3,105.217476,6,669.60768779,4,169.64180682,3,'1 Adequate','-5','-5','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','6 100 - 120% AMI','7 120% AMI +','7 120% AMI +','6 100 - 120% AMI','7 120% AMI +','.','1 Less than 30%','-5'
'000000002449','7600',66,4,1975,'1',1,555000,-6,'1',1,3,228420,12,'1',3425,'7',677.95843751,1,'1',475.33333333,70,4233.8382065,6377.003255,4904.2373799,4114.487072,125920,-9,16781,84300,37935,57600,1704,94736.34,42631.353,64730.88,85262.706,54947.0772,83430.912,109894.1544,0.1799317048,267.90141988,7,1361.1822895,4,335.12323944,3,154.10603884,7,1009.1980708,4,248.46468348,3,178.50767064,7,1168.9976473,4,287.80735797,3,232.1143755,7,1520.0532161,4,374.23728022,3,149.76181743,7,980.74895941,4,241.46050892,3,'1 Adequate','-5','1960-1979','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','-5'
'000000002456','7600',54,3,1960,'1',1,263000,-6,'1',1,3,151429,6,'1',745,'7',826.54562204,1,'1',344.66666667,85,2177.5527597,3193.1426836,2495.237413,2120.9953752,147800,-9,16781,84300,37935,57600,1395,94736.34,42631.353,64730.88,85262.706,49262.8968,74800.128,98525.7936,0.0590375688,177.60285488,7,902.38364817,4,271.3781362,3,88.40538828,5,519.05196584,4,156.09697202,3,101.30291051,6,594.77681021,4,178.87006545,3,129.63682167,7,761.13287256,4,228.8991171,3,86.109242981,5,505.57067523,4,152.04267923,3,'1 Adequate','-5','1960-1979','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','5 80 - 100% AMI','6 100 - 120% AMI','7 120% AMI +','5 80 - 100% AMI','7 120% AMI +','.','1 Less than 30%','-5'
'000000002457','7600',33,3,1980,'1',1,310000,-6,'1',1,3,116400,7,'1',857,'7',836.28301191,1,'1',363.25,200,2623.4959652,3820.5791454,2997.9531611,2556.8313675,108000,-9,17268,84300,37935,57600,1395,94736.34,42631.353,64730.88,85262.706,49262.8968,74800.128,98525.7936,0.0883505155,136.51924207,7,674.07922168,4,208.60215054,3,106.51001608,6,607.71275543,4,188.06422689,3,121.71241871,7,694.45289811,4,214.90703664,3,155.10980448,7,885.00790953,4,273.87664125,3,103.80353303,6,592.27041175,4,183.28540269,3,'1 Adequate','-5','1980-1989','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','6 100 - 120% AMI','7 120% AMI +','7 120% AMI +','6 100 - 120% AMI','7 120% AMI +','.','1 Less than 30%','-5'
'000000002458','7600',65,3,1975,'1',1,310000,-6,'1',1,1,12300,7,'1',1901,'7',835.247159,1,'1',259.5,75,2394.7459652,3591.8291454,2769.2031611,2328.0813675,0,-9,10289,84300,29505,44800,1395,94736.34,33157.719,50346.24,66315.438,49262.8968,74800.128,98525.7936,1.8546341463,18.547717351,1,119.5451453,2,22.043010753,1,97.223107886,5,930.99269712,4,171.66637743,3,112.42551052,6,1076.5684366,4,198.50918718,3,145.82289629,7,1396.3763808,4,257.47879179,3,94.516624833,5,905.0758548,4,166.88755323,3,'1 Adequate','-5','1960-1979','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','2 100-150% Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','1 LTE 50% FMR','5 80 - 100% AMI','6 100 - 120% AMI','7 120% AMI +','5 80 - 100% AMI','1 LTE 30% AMI','.','3 Greater than 50%','-5'
'000000002468','7600',60,3,1950,'1',1,350000,-6,'1',1,1,80000,6,'1',2122,'7',664.56253137,1,'1',322.33333333,79.166666667,2727.5841542,4079.1296803,3150.3584077,2652.317673,80000,-9,11161,84300,29505,44800,1395,94736.34,33157.719,50346.24,66315.438,49262.8968,74800.128,98525.7936,0.3183,120.63556,7,716.78165039,4,143.36917563,3,110.73584102,6,977.54113582,4,195.52574582,3,127.89984399,7,1129.0595494,4,225.83214392,3,165.60656986,7,1461.9226522,4,292.41072977,3,107.68013435,6,950.56631951,4,190.13029914,3,'1 Adequate','-5','1940-1959','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','6 100 - 120% AMI','7 120% AMI +','7 120% AMI +','6 100 - 120% AMI','7 120% AMI +','.','2 30% to 50%','-5'
'000000002470','7600',52,3,1950,'1',1,450000,-6,'1',1,4,68000,6,'1',2237,'7',775.65838761,1,'1',237.25,112.5,3340.4296269,5078.1310175,3883.9965242,3243.6584367,68000,-9,21756,84300,42150,64000,1395,94736.34,47368.17,71923.2,94736.34,49262.8968,74800.128,98525.7936,0.3947647059,71.778158202,4,312.55745541,4,121.86379928,3,135.61645148,7,614.16246127,4,239.45732092,3,157.6844553,7,714.10121791,4,278.42268991,3,206.16453142,7,933.65159359,4,364.02372886,3,131.68768576,7,596.37036895,4,232.52031804,3,'1 Adequate','-5','1940-1959','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','4 60 - 80% AMI','.','2 30% to 50%','-5'
'000000002472','7600',69,3,1960,'1',1,350000,-6,'1',1,2,24000,6,'3',635,'7',775.65838761,1,'1',214.25,87.5,2627.8341542,3979.3796803,3050.6084077,2552.567673,0,-9,12968,84300,33720,51200,1395,94736.34,37894.536,57538.56,75789.072,49262.8968,74800.128,98525.7936,0.3175,31.666834501,2,185.07094386,3,43.010752688,1,106.68614007,6,810.55957873,4,188.37520819,3,123.85014304,7,940.96496228,4,218.68160629,3,161.55686891,7,1227.4459224,4,285.26019214,3,103.6304334,6,787.34351419,4,182.97976151,3,'3 Severely Indadequa','-5','1960-1979','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 150-200% Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','1 LTE 50% FMR','6 100 - 120% AMI','7 120% AMI +','7 120% AMI +','6 100 - 120% AMI','2 30 - 50% AMI','.','2 30% to 50%','-5'
